City_ID,City,Country,Latitude,Longitude,Date,Max Temperature (C),Humidity,Cloudiness,Wind Speed (km/h)
86,Caravelas,BR,-17.7125,-39.2481,2021-03-19 07:08:01,23.5,90,100,1.27
87,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
88,Hithadhoo,MV,-0.6,73.0833,2021-03-19 07:08:01,28.06,73,100,4.6
89,Atuona,PF,-9.8,-139.0333,2021-03-19 07:07:50,26.91,79,2,5.91
90,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
91,Henties Bay,NA,-22.116,14.2845,2021-03-19 07:08:02,17.22,90,65,4.02
92,Pala,TD,9.3642,14.9046,2021-03-19 07:07:03,30.38,40,64,2.72
93,Mana,GF,5.6592,-53.7767,2021-03-19 07:08:03,23.45,83,99,3.28
94,Hilo,US,19.7297,-155.09,2021-03-19 07:07:55,20.0,83,90,2.57
95,Acapulco de Juárez,MX,16.8634,-99.8901,2021-03-19 07:08:04,22.89,79,0,1.8
96,Bambous Virieux,MU,-20.3428,57.7575,2021-03-19 07:07:48,28.89,78,40,6.69
97,Tuatapere,NZ,-46.1333,167.6833,2021-03-19 07:08:04,13.33,80,52,1.79
98,Isangel,VU,-19.55,169.2667,2021-03-19 07:07:43,28.0,69,75,4.12
99,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
100,George Town,MY,5.4112,100.3354,2021-03-19 07:06:06,33.0,48,20,4.12
101,Adrar,MR,20.5022,-10.0711,2021-03-19 07:08:05,17.98,14,0,0.49
102,Arrondissement de Nevers,FR,46.9167,3.3333,2021-03-19 07:08:06,2.78,97,100,0.74
103,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
104,Kieta,PG,-6.2167,155.6333,2021-03-19 07:08:06,28.22,76,100,1.32
105,Bilma,NE,18.6853,12.9164,2021-03-19 07:08:06,29.86,14,0,1.43
106,Port Lincoln,AU,-34.7333,135.8667,2021-03-19 07:08:06,23.24,58,0,5.2
107,Cockburn Town,TC,21.4612,-71.1419,2021-03-19 07:08:07,23.84,77,15,7.7
108,Crateús,BR,-5.1783,-40.6775,2021-03-19 07:07:46,20.56,98,96,0.79
109,Koshurnikovo,RU,54.1667,93.3,2021-03-19 07:08:07,-5.45,85,100,2.31
110,Cape Town,ZA,-33.9258,18.4232,2021-03-19 06:59:47,18.0,68,40,9.26
111,Kapaa,US,22.0752,-159.319,2021-03-19 07:07:49,21.0,78,90,9.26
112,Marrakesh,MA,31.6315,-8.0083,2021-03-19 07:08:08,12.0,87,75,2.06
113,George Town,MY,5.4112,100.3354,2021-03-19 07:06:06,33.0,48,20,4.12
114,Calvinia,ZA,-31.4707,19.776,2021-03-19 07:08:08,12.0,82,20,3.09
115,Jamestown,US,42.097,-79.2353,2021-03-19 07:07:54,-1.67,50,1,7.53
116,Bethel,US,41.3712,-73.414,2021-03-19 07:08:09,3.0,56,90,7.2
117,Buchanan,LR,5.8808,-10.0467,2021-03-19 07:08:09,23.0,94,75,1.54
118,Morros,BR,-9.4467,-46.3003,2021-03-19 07:08:09,21.43,90,100,1.22
119,Anadyr,RU,64.75,177.4833,2021-03-19 07:08:10,-25.56,70,0,4.0
120,Yangi Marg`ilon,UZ,40.4272,71.7189,2021-03-19 07:08:10,14.0,41,100,1.03
121,Barrow,US,71.2906,-156.7887,2021-03-19 07:07:44,-19.0,71,90,3.6
122,La Ronge,CA,55.1001,-105.2842,2021-03-19 07:08:10,1.0,69,11,2.06
123,Port Elizabeth,ZA,-33.918,25.5701,2021-03-19 07:08:11,21.67,70,30,1.79
124,Belle Fourche,US,44.6714,-103.8522,2021-03-19 07:08:11,2.78,80,1,1.54
125,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
126,Busselton,AU,-33.65,115.3333,2021-03-19 07:01:33,33.89,23,100,1.34
127,Jamestown,US,42.097,-79.2353,2021-03-19 07:07:54,-1.67,50,1,7.53
128,Dwārka,IN,22.2394,68.9678,2021-03-19 07:06:25,27.09,51,0,3.42
129,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
130,Vaini,TO,-21.2,-175.2,2021-03-19 07:08:12,26.0,89,20,1.54
131,Barrow,US,71.2906,-156.7887,2021-03-19 07:07:44,-19.0,71,90,3.6
132,New Norfolk,AU,-42.7826,147.0587,2021-03-19 07:05:30,21.11,47,0,1.34
133,Hurghada,EG,27.2574,33.8129,2021-03-19 07:08:13,19.0,32,0,5.66
134,Mataura,NZ,-46.1927,168.8643,2021-03-19 07:07:45,13.33,80,45,1.79
135,Quatre Cocos,MU,-20.2078,57.7625,2021-03-19 07:08:13,28.89,78,40,6.69
136,East London,ZA,-33.0153,27.9116,2021-03-19 07:08:13,21.0,78,75,8.23
137,Kaitangata,NZ,-46.2817,169.8464,2021-03-19 07:07:59,14.44,63,75,1.79
138,Rawson,AR,-43.3002,-65.1023,2021-03-19 07:08:14,18.41,41,2,8.16
139,Arlit,NE,18.7369,7.3853,2021-03-19 07:08:14,28.05,13,0,0.97
140,Hobart,AU,-42.8794,147.3294,2021-03-19 07:05:42,21.11,46,20,5.14
141,Batemans Bay,AU,-35.7167,150.1833,2021-03-19 07:08:15,21.11,80,96,1.34
142,Ormara,PK,25.2088,64.6357,2021-03-19 07:08:15,25.69,59,0,4.16
143,George Town,MY,5.4112,100.3354,2021-03-19 07:06:06,33.0,48,20,4.12
144,Kruisfontein,ZA,-34.0033,24.7314,2021-03-19 07:08:15,21.67,70,15,1.79
145,Mataura,NZ,-46.1927,168.8643,2021-03-19 07:07:45,13.33,80,45,1.79
146,Ribeira Grande,PT,38.5167,-28.7,2021-03-19 07:01:31,15.15,83,100,7.82
147,Albany,US,42.6001,-73.9662,2021-03-19 07:07:48,-1.11,59,100,7.12
148,Severo-Kuril'sk,RU,50.6789,156.125,2021-03-19 07:08:16,-0.32,95,91,4.88
149,Busselton,AU,-33.65,115.3333,2021-03-19 07:01:33,33.89,23,100,1.34
150,Wilmington,US,34.2257,-77.9447,2021-03-19 07:03:18,16.67,94,1,1.54
151,Mar del Plata,AR,-38.0023,-57.5575,2021-03-19 07:08:17,12.22,100,0,1.54
152,Constitución,CL,-35.3333,-72.4167,2021-03-19 07:08:17,10.96,86,0,1.51
153,Qaanaaq,GL,77.484,-69.3632,2021-03-19 07:01:21,-23.67,82,100,2.54
154,Aras,ES,42.5617,-2.356,2021-03-19 07:08:18,5.0,87,90,6.17
155,Tres Arroyos,AR,-38.3739,-60.2798,2021-03-19 07:08:18,9.05,67,4,3.74
156,Kumul,CN,42.8,93.45,2021-03-19 07:08:18,5.5,15,0,3.79
